product_url,title,price,rating,reviews,availability
,"BlueFire Professional 3.5mm PS4 Gaming Headset Headphone with Mic and LED Lights for Playstation 4, PS5, Xbox one,Laptop, Computer (Blue)",,4.4 out of 5 stars,"8,348 ratings",Not Available
,"Replacement for PS4 Controller, Wireless Playstation 4 Controller Game Remote Compatible with PS4/Slim/Pro/PC Dualshock 4 PS4 Controller with Bluetooth Enhanced Dual Vibration Six-axis Sensitive Joystick (Black)",,3.6 out of 5 stars,16 ratings,Not Available
,"Wiv77 2 Pack Ps4 Controller Blue and White, Control Pa4 Remote Wireless Compatible with Playstation 4 Controller with Headphone Jack/Long Battery Life, Pa4 Controller for Kids/Men/Women",,5.0 out of 5 stars,6 ratings,Not Available
,"PC Gaming Headset, EZ.winpow Video Game Stereo Headphone with 7.1 Surround Sound with Noise Canceling Mic & Memory Foam Ear Pads for PC/PS5/PS4/Xbox One/Nintendo Switch Red",,4.4 out of 5 stars,132 ratings,Not Available
,"PS5 Controller Charging Station with Fast Dual Charging Dock PS5 Charger for Playstation 5 Dualsense Wireless Controller Accessories, Blue LED ON/Off Automatically When Charging and Fully Charged",,4.7 out of 5 stars,229 ratings,Not Available
,Stereo Gaming Headset，SADES Noise Cancelling 3.5mm Over-Ear Headphones with Microphone and Volume Control for PC Xbox One PS4 PS5 Laptop Mac Nintendo Games,,4.3 out of 5 stars,510 ratings,Not Available
,"CorpCo 8ft AC Power Cord Replacement for Sony Playstation 5, PS5 and Playstation 4, PS4 Slim, Xbox Series S, Xbox Series X",,4.7 out of 5 stars,209 ratings,Not Available
,"HORI Racing Wheel Apex for Playstation 5, PlayStation 4 and PC - Officially Licensed by Sony - Compatible with Gran Turismo 7",$119.99,4.3 out of 5 stars,"1,278 ratings",In Stock.
,"2 Pack Game Controller Blue and Berry Blue Compatible with PS4 Controller, Wiv77 Controller Ps4 Remote Works with Playstation 4 Controller, Long Battery Life Pa4 Controller for Kids/Men/Women",,4.3 out of 5 stars,78 ratings,Not Available
,Sony Playstation PS4 1TB Black Console,$449.89,4.7 out of 5 stars,935 ratings,Not Available
,PlayStation 4 Slim 1TB Console,,4.7 out of 5 stars,"15,315 ratings",Only 1 left in stock - order soon.
,PlayStation 4 Slim 1TB Console - Marvel's Spider-Man Bundle [Discontinued],,4.7 out of 5 stars,"2,799 ratings",
,PlayStation 4 Slim 1TB Console - Black (Renewed),$478.00,4.5 out of 5 stars,"1,203 ratings",Not Available
,PlayStation 4 500GB Console [Old Model][Discontinued],,4.6 out of 5 stars,"13,623 ratings",Only 10 left in stock - order soon.
,DualShock 4 Wireless Controller for PlayStation 4 - Jet Black,$58.50,4.7 out of 5 stars,"143,729 ratings",Not Available
,PAC-MAN World Re-PAC - PlayStation 4,$18.99,4.7 out of 5 stars,120 ratings,In Stock.
,"Funcilit Wireless Controller for PS3, Controller for Playstation 3, Wireless Bluetooth Gamepad with USB Charger Cable for PS3 Console, 2 Pack(Black)",,4.4 out of 5 stars,"1,123 ratings",Not Available
,"Powerextra Wireless Controller Compatible with PS-3, 2 Pack High Performance Gaming Controller with Upgraded Joystick for Play-Station 3 (Black)",$20.99,4.4 out of 5 stars,"1,167 ratings",Not Available
,Marvel's Spider-Man: Miles Morales - PlayStation 4,$39.93,4.8 out of 5 stars,"3,771 ratings",Not Available
,DualShock 4 Wireless Controller for PlayStation 4 - Jet Black,$58.50,4.7 out of 5 stars,"143,729 ratings",Not Available
,"PS5 Controller Charging Station with Fast Dual Charging Dock PS5 Charger for Playstation 5 Dualsense Wireless Controller Accessories, Blue LED ON/Off Automatically When Charging and Fully Charged",,4.7 out of 5 stars,229 ratings,Not Available
,Sony Playstation 4 Dual Shock 4 Controller,,4.6 out of 5 stars,"1,950 ratings",Not Available
,DualShock 4 Wireless Controller for PlayStation 4 - Midnight Blue,$63.00,4.7 out of 5 stars,"143,729 ratings",Not Available
,"2 Pack Wireless Controller for Playstation 4, Qyszy88 Wireless Controller for Sony PS4/Pro/Slim/, with Double Shock/Stereo Headset Jack/Touch Pad/Six-axis Motion Control，Great Gamepad Gift (Blue+Purple)",,4.3 out of 5 stars,405 ratings,Not Available
,PlayStation PS5 Console – God of War Ragnarök Bundle,$559.00,4.8 out of 5 stars,"3,697 ratings",In Stock.
,SADES G813 Multi-Platform Playstation 4Gaming Headset with Mic 3.5MM Jack in-LINE Volume Control Over-Ear Headphones for New PC/PS4/XboxOne/Smartphones,,4.3 out of 5 stars,510 ratings,Not Available
,Sackboy: A Big Adventure - PlayStation 4,$59.95,4.8 out of 5 stars,"1,533 ratings",Not Available
,"Xahpower PS2 to HDMI Adapter Converter, HDMI Link Cable Support 16:9/ 4:3 and HD 1080P Display for Sony Playstation 1/ Playstation 2/ Playstation 3（Plug and Play）",,Previous page of related Sponsored Products,,Not Available
,Wireless Controller for PS4 Dualshocked 4 Game Controller Compatible with Playstation 4/Pro/Slim/PC Replacement Remote Gamepad Gaming Accessories Joystick Touch Pad Built-in Speaker with Type-C Cable,,4.2 out of 5 stars,955 ratings,Not Available
,XIAOXIA PS4 Slim Power Supply Unit Adapter ADP-160ER N16-160P1A Replacement for Sony Playstation 4 PS4 Slim CUH-2015B CUH-2115B 500GB Console (NOT Fit for N15-160P1A or ADP-160CR),$55.21,5.0 out of 5 stars,4 ratings,Not Available
